Description,Designator,Quantity,Manufacturer Name,Manufacturer Part Number,Case

"Multilayer Ceramic Capacitors - SMD - 6.3V 1uF X5R 0402 20%","C1","1","Murata","GRM153R60J105ME95D","0402"
"Capacitor - 33pF [0402] (Ceramic)","C6, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C26, C30, C35, C36, C37, C38","21","Kemet","C0402C330J9RACAUTO","0402"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C9, C10, C33","3","AVX","04026D104KAT4A","0402"
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 47UF 10V 20% 1206","C24","1","Kemet","C1206C476M8PAC","1206"
"Multilayer Ceramic Capacitors - SMD - 25V 1uF X7R 0603 10%","C27","1","Murata","GCJ188R71E105KA01D","0603"
"Capacitor (MLCC) - 22uF / 6V3 / 0603","C28, C29","2","Murata Electronics","GRM188R60J226MEA0D","0603"
"Capacitor (MLCC) - 4.7nF / 6V3 / 0402","C31","1","KEMET","C0402C472K9RACTU","0402"
"Tantalum Capacitors - Polymer 10V 68uF 2917 20% ESR=25mOhms","C32","1","Panasonic","10TPE68M","2917"
"Multilayer Ceramic Capacitors MLCC - SMD/SMT 100UF 10V 20% 1206","C34","1","Murata","GRM31CR61A107MEA8L","1206"
"ESD Protection Diodes / TVS Diodes PolySurg 0402 35V .05pF","D1, D2, D3, D4","4","Eaton","0402ESDA-MLP1","0402"
"Standard LEDs - SMD MINI-MOLD ULTRA COMPACT GREEN","D6","1","ROHM Semiconductor","SML-P12MTT86R","0402"
"Standard LEDs - SMD MINI-MOLD ULTRA COMPACT RED","D7","1","ROHM Semiconductor","SML-P12VTT86R","0402"
"Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","FB1, FB2","2","Murata Electronics","BLM18EG101TZ1D","0603"
"Memory Card Connectors Micro SIM Push-Pull, 6P, SMT, 1.48mm Profile, No Peg, Without switch, T&R","J2","1","GCT","SIM7205-6-0-15-00-A",""
"1.52 A. Power Inductors - SMD 4.7 UH 20%","L3","1","Murata","LQH3NPN2R2MMEL","SMD"
"Bipolar NPN Transistors","Q1, Q2, Q3, Q4","4","Nexperia","BC847AQAZ","DFN-1010D-3"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R1, R12","2","Vishay","CRCW0402330RFKED","0402"
"Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%","R2","1","Vishay","CRCW04024K70FKED","0402"
"Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","R3, R5, R6, R7, R8, R9, R10, R15, R17, R19","10","Vishay","CRCW040247K0FKED","0402"
"Thick Film Resistors - SMD 1/16 W 0 Ohm","R4, R11","2","Vishay","CRCW04020000Z0ED","0402"
"Thick Film Resistors - SMD 1/16 W 100 KOhm 1%","R13, R20","2","Vishay","CRCW0402100KFKED","0402"
"Thick Film Resistors - SMD 1/16 W 383 KOhm 1%","R14","1","Vishay","CRCW0402383KFKED","0402"
"Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","R16, R18","2","Vishay","CRCW040210K0FKED","0402"
"MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM","RF1","1","Molex","73412-0110","SMD"
"Telit LE910C1-EUX LTE/2G GSM Module","U1","1","Telit","LE910C1-EUX","BGA"
"Translation - Voltage Levels 8-Bit Dual-Supply Bus Transceiver 24-TSSOP -40 to 125","U2","1","Texas Instruments","SN74AXC8T245PWR","TSSOP-24"
"Switching Voltage Regulators 3-17V 3A Step Down Converter.","U3","1","Texas Instruments","TPS62130ARGTR","VQFN-EP-16"
