Altium Designer Pick and Place Locations
C:\Users\akkoyun\Documents\P101DA\Modules\B101AA\Output\Pick Place\Pick Place for B101AA.txt

========================================================================================================================
File Design Information:

Date:       04.10.22
Time:       10:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                              Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                          "Manufacturer Name"  "Manufacturer Part Number" 
U3         "Power Switch"                       BottomLayer SOT-23-6                216.536       314.961       90       "Power Switch MosFet"                                                                "Texas Instruments"  TPS22917DBVR               
U2         SN74AXCH8T245PW                      BottomLayer TSSOP-24                605.315       374.016       0        "Translation - Voltage Levels 8-Bit Dual-Supply Bus Transceiver 24-TSSOP -40 to 125" "Texas Instruments"  SN74AXCH8T245PW            
TP5        "PCB - Test Point"                   BottomLayer Test_Point              334.646       492.126       180      "Test Point"                                                                         ""                   ""                         
TP4        "PCB - Test Point"                   BottomLayer Test_Point              1122.047      944.882       270      "Test Point"                                                                         ""                   ""                         
TP3        "PCB - Test Point"                   BottomLayer Test_Point              1122.047      787.402       270      "Test Point"                                                                         ""                   ""                         
TP2        "PCB - Test Point"                   BottomLayer Test_Point              59.055        944.882       90       "Test Point"                                                                         ""                   ""                         
TP1        "PCB - Test Point"                   BottomLayer Test_Point              59.055        787.402       90       "Test Point"                                                                         ""                   ""                         
RF2        73412-0110                           TopLayer    Connector_IPEX          708.661       1889.764      90       "MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM"                         Molex                73412-0110                 
RF1        73412-0110                           TopLayer    Connector_IPEX          354.331       1889.764      0        "MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM"                         Molex                73412-0110                 
R22        "10K - 0402 - %1 - 1/16W"            BottomLayer RESISTOR_0402           807.087       527.559       0        "Thick Film Resistors - SMD 1/16 W 10 KOhm 1%"                                       Vishay               CRCW040210K0FKED           
R21        "47K - 0402 - %1 - 1/16W"            BottomLayer RESISTOR_0402           137.795       354.331       270      "Thick Film Resistors - SMD 1/16 W 47 KOhm 1%"                                       Vishay               CRCW040247K0FKED           
R20        "330R - 0402 - %1 - 1/16W"           BottomLayer RESISTOR_0402           157.480       413.386       0        "Thick Film Resistors - SMD 1/16 W 330 Ohm 1%"                                       Vishay               CRCW0402330RFKED           
