Change Component Footprint: Designator=C32 Old Footprint=CAPACITOR_0402 New Footprint=CAP_10TPE68M
Change component parameters: Designator = "C32" ("C32"); Footprint = "CAPACITOR_0402"; UniqueID = "\QFFQSICU\HFLJOTXP" ("\QFFQSICU\HFLJOTXP")
Change component parameters (AddParameter): Name = "Case"; Value = "2917"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "DataSheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.mouser.com.tr/datasheet/2/315/AAA8000C36-944332.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.mouser.com.tr/ProductDetail/Panasonic/10TPE68M?qs=OE1iw1LrrPG6aGLnsZkr4w%3D%3D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR"; Value = "25 m"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Name"; Value = "Panasonic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "10TPE68M"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Subcategory"; Value = "Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "68uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
